age,edu,edunumber,gender,gov,marriage,relation,skin,workhour,occupation,income
38,2,10,2,1,2,4,5,28,8,0
24,2,10,1,1,1,3,1,40,8,0
41,1,13,1,5,1,3,5,40,2,0
47,2,10,1,1,1,3,1,45,1,0
41,1,13,1,4,1,3,1,24,1,0
23,16,3,1,1,1,5,1,40,0,0
36,2,10,1,1,2,4,1,40,2,0
40,12,14,2,4,3,4,1,55,5,1
35,12,14,1,1,1,5,1,40,6,1
24,4,0,1,2,3,4,1,40,4,0
26,12,14,2,1,3,4,1,40,6,0
19,4,0,1,0,3,2,1,40,0,0
51,1,13,1,1,1,3,1,50,5,1
42,2,10,2,5,3,4,1,40,6,0
37,4,0,2,6,2,6,1,35,0,0
18,3,7,2,1,3,2,1,40,4,0
36,1,13,1,1,1,3,5,36,3,1
35,4,0,1,1,2,4,1,60,2,0
58,4,0,2,3,1,1,1,35,4,1
17,3,7,2,1,3,2,1,12,4,0
44,4,0,1,5,1,3,5,40,0,0
37,4,0,1,1,1,3,1,40,2,1
35,2,10,2,1,3,4,3,40,4,0
60,4,0,1,1,1,3,2,40,2,0
54,10,4,1,3,1,3,1,40,8,1
37,1,13,1,1,3,4,5,60,5,1
50,7,12,2,1,2,4,1,40,4,0
38,1,13,1,1,1,3,1,50,4,0
45,1,13,1,1,1,3,1,55,6,0
25,14,6,1,1,3,4,1,40,2,0
31,2,10,1,1,1,3,1,40,7,0
64,13,2,1,0,2,4,1,40,0,0
90,4,0,1,1,3,4,5,40,3,0
54,4,0,1,1,1,3,5,20,0,0
53,17,1,2,5,3,4,1,35,8,0
18,4,0,2,1,3,2,1,40,4,0
60,14,6,2,0,2,4,3,10,0,0
66,4,0,1,2,1,3,1,50,0,0
75,8,11,2,1,5,4,1,20,0,0
65,4,0,2,1,2,4,1,40,0,0
35,3,7,1,1,4,4,5,40,0,0
41,4,0,2,1,2,6,5,38,4,0
25,2,10,1,1,3,4,1,42,0,0
33,2,10,2,1,2,5,4,40,2,0
28,5,15,1,1,3,4,1,55,6,1
59,4,0,1,6,1,3,1,40,3,0
40,2,10,2,6,3,4,1,38,0,0
41,1,13,1,1,1,3,1,50,5,1
38,12,14,1,5,1,3,1,70,5,1
23,4,0,1,1,3,2,1,40,0,0
40,1,13,1,1,1,3,1,40,6,1
41,4,0,2,2,1,1,1,20,3,0
24,7,12,1,6,1,3,1,50,0,0
20,2,10,1,0,3,2,1,20,0,0
38,2,10,1,1,2,4,1,40,2,0
56,4,0,1,1,1,3,1,35,0,0
58,4,0,1,1,1,3,1,45,0,1
32,4,0,2,1,3,4,1,34,3,0
40,7,12,1,1,1,3,1,60,1,1
45,4,0,1,1,1,3,1,40,0,0
41,5,15,2,1,1,1,1,40,6,1
42,1,13,2,1,1,1,5,40,0,0
59,14,6,2,5,5,6,5,30,3,0
19,2,10,1,5,3,2,1,40,0,0
58,2,10,1,1,3,4,1,20,0,0
42,4,0,1,2,1,3,2,40,0,1
20,4,0,2,1,3,2,1,40,3,0
32,4,0,2,1,4,4,1,30,3,0
45,8,11,2,1,5,4,1,45,5,0
50,10,4,1,1,2,4,1,40,2,0
36,1,13,2,1,2,2,1,40,6,0
45,4,0,1,1,1,3,1,60,4,0
17,3,7,1,1,3,2,1,12,3,0
59,2,10,1,1,1,3,1,40,4,0
26,3,7,1,1,1,3,1,40,2,0
37,2,10,1,3,1,3,2,75,5,1
19,2,10,1,0,3,2,1,24,0,0
64,4,0,1,1,1,3,1,40,5,1
33,1,13,2,1,3,4,1,45,6,0
33,4,0,2,1,1,1,1,40,2,1
61,4,0,1,1,1,3,1,40,5,1
17,0,5,1,1,3,2,1,24,3,0
50,12,14,1,2,1,3,1,98,0,0
27,12,14,1,5,3,2,1,35,6,0
30,4,0,2,1,2,2,1,40,6,0
43,4,0,1,1,1,3,5,40,7,0
44,2,10,1,1,1,3,1,40,2,1
35,2,10,2,1,3,4,1,40,5,0
25,2,10,2,1,3,2,1,40,1,0
24,2,10,2,1,1,1,1,48,8,1
22,1,13,2,1,3,4,1,15,6,0
42,2,10,1,5,1,3,1,40,2,1
34,7,12,2,1,2,6,5,45,4,0
60,1,13,2,1,2,4,1,42,6,0
21,4,0,1,1,3,2,1,40,7,0
57,12,14,1,4,1,3,1,40,4,1
41,5,15,1,1,1,3,1,60,6,1
50,2,10,1,1,2,4,1,45,3,0
25,1,13,2,1,3,4,1,40,5,0
50,10,4,1,1,1,3,1,40,2,0
36,1,13,1,1,1,3,1,45,6,0
31,4,0,2,1,2,4,1,40,6,0
29,1,13,1,5,3,4,1,56,0,0
21,2,10,1,1,3,2,1,45,4,0
27,1,13,2,1,3,6,5,40,1,0
65,4,0,1,1,1,3,1,16,0,0
37,1,13,2,3,2,4,1,60,4,0
39,12,14,2,0,1,1,2,40,0,0
24,4,0,1,1,3,2,1,40,2,0
38,4,0,1,1,2,4,1,80,4,0
48,1,13,1,1,1,3,1,40,0,1
21,2,10,2,1,3,4,2,25,3,0
31,4,0,1,1,1,3,1,45,0,1
55,4,0,1,1,1,3,1,40,4,1
24,2,10,2,1,1,1,2,40,0,0
43,4,0,2,1,2,4,1,40,0,0
26,7,12,1,1,3,4,1,45,1,0
46,7,12,2,1,3,4,1,33,6,0
35,7,12,1,1,1,3,1,40,0,1
41,2,10,1,3,1,3,1,54,0,1
26,1,13,1,1,3,4,1,40,4,0
34,12,14,1,1,1,3,2,35,5,1
19,2,10,2,0,3,2,5,25,0,0
36,1,13,2,2,2,4,5,40,6,1
22,2,10,1,1,3,2,1,15,4,0
24,2,10,1,1,3,4,1,40,8,0
77,2,10,1,2,1,3,1,40,4,0
22,16,3,2,1,1,5,1,40,8,0
29,2,10,2,1,3,4,1,40,1,0
62,4,0,2,1,5,4,1,24,3,0
39,4,0,1,2,1,3,1,40,5,0
43,2,10,1,1,1,3,1,50,2,0
35,4,0,1,1,2,4,1,45,0,0
29,3,7,2,1,3,4,1,40,5,0
76,12,14,1,2,1,3,1,10,2,0
63,4,0,1,2,1,3,1,45,0,0
23,8,11,2,0,3,2,5,15,0,0
43,2,10,2,1,1,1,1,50,6,1
58,4,0,1,2,1,3,1,40,7,0
66,4,0,1,1,3,4,1,55,0,0
41,2,10,1,1,3,4,5,45,2,0
26,1,13,1,1,3,4,1,40,0,0
47,8,11,1,1,3,4,1,40,3,0
55,14,6,1,5,1,3,1,40,0,0
53,4,0,1,1,1,3,1,40,0,0
17,16,3,1,1,3,5,1,48,3,0
30,4,0,1,1,3,5,1,40,2,0
49,12,14,1,1,3,4,1,60,6,0
19,4,0,1,1,3,6,5,30,4,0
45,4,0,1,1,1,3,5,40,3,0
26,7,12,1,1,3,4,1,40,4,0
38,8,11,1,1,1,3,1,40,2,1
36,4,0,1,6,1,3,1,40,0,1
33,4,0,1,1,3,4,1,20,0,0
22,2,10,2,6,3,2,5,40,0,0
43,1,13,1,2,3,4,1,42,4,0
67,3,7,1,0,1,3,1,8,0,0
30,8,11,2,0,2,6,1,40,0,0
56,7,12,1,1,6,4,1,25,3,0
31,1,13,1,1,3,2,1,25,6,0
33,1,13,1,1,1,3,1,40,5,1
26,4,0,1,1,1,3,1,40,3,0
33,1,13,1,1,1,3,1,40,5,1
46,3,7,1,5,1,3,1,30,0,0
59,1,13,1,0,1,3,1,40,0,1
38,4,0,1,4,1,3,1,40,0,1
65,3,7,1,1,5,6,4,40,3,0
40,8,11,1,1,1,3,1,40,1,1
42,4,0,2,1,1,1,1,35,0,0
26,0,5,1,2,1,3,1,40,2,0
36,14,6,2,1,1,1,1,24,3,0
62,12,14,1,1,1,3,1,40,6,1
43,1,13,1,1,1,3,1,45,0,0
43,1,13,1,1,2,4,1,45,5,1
22,4,0,1,1,6,4,1,55,4,0
28,4,0,1,1,1,3,1,40,2,0
56,2,10,1,2,1,3,1,45,4,0
22,7,12,2,1,3,4,1,15,4,0
57,1,13,2,1,2,4,1,45,5,1
39,4,0,2,1,2,6,1,40,4,0
26,2,10,2,4,3,6,1,15,0,0
17,3,7,1,1,3,2,1,10,3,0
40,8,11,1,6,1,3,1,38,8,1
45,4,0,1,1,1,3,5,40,8,0
44,4,0,1,1,3,4,5,40,2,0
20,2,10,2,5,3,2,1,10,0,0
33,4,0,2,1,1,1,1,40,2,0
23,2,10,1,1,3,4,1,40,4,0
46,12,14,1,2,2,4,1,30,5,0
38,4,0,1,1,1,3,1,50,4,0
54,4,0,1,1,2,4,1,40,0,0
46,16,3,2,1,2,4,1,45,2,0
25,2,10,1,1,1,3,1,40,2,0
46,2,10,2,1,2,4,1,40,4,0
36,2,10,2,5,1,1,1,40,0,0
23,4,0,2,1,3,4,1,25,3,0
29,4,0,1,1,4,4,1,40,8,0
44,2,10,2,1,1,1,1,6,0,1
19,2,10,2,1,3,2,1,16,0,0
19,4,0,2,1,3,5,1,40,3,0
35,4,0,2,1,1,1,1,40,3,1
27,1,13,1,1,3,4,1,50,2,0
46,7,12,1,2,4,4,1,40,2,0
34,1,13,1,6,1,3,1,45,5,1
34,4,0,2,1,3,4,1,35,3,0
44,2,10,1,1,1,3,1,40,1,0
45,2,10,2,1,2,6,1,40,7,0
20,4,0,2,0,3,5,1,35,0,0
25,1,13,1,1,1,3,1,55,5,1
52,1,13,1,3,1,3,1,50,5,1
20,2,10,1,1,3,2,1,40,7,0
28,2,10,2,1,3,4,1,40,3,0
50,1,13,1,6,1,3,1,40,0,1
34,8,11,2,1,2,4,1,64,1,0
28,10,4,1,1,1,3,4,40,7,0
41,12,14,1,1,1,3,1,65,5,1
28,4,0,1,1,1,3,1,40,0,0
46,4,0,1,2,1,3,1,25,2,0
28,2,10,2,0,1,1,1,40,0,1
32,2,10,1,1,1,3,1,50,5,0
41,2,10,2,5,2,4,5,24,3,0
24,4,0,2,1,3,6,5,40,7,0
33,2,10,2,1,2,6,1,40,5,0
46,15,16,1,1,1,3,1,60,5,1
31,2,10,1,6,1,3,1,40,8,0
35,11,8,1,1,2,4,1,50,2,1
52,13,2,1,1,1,3,1,40,8,0
30,3,7,2,1,3,2,1,19,3,0
34,3,7,1,5,4,4,5,40,8,0
34,4,0,2,6,2,6,1,40,0,0
20,2,10,1,1,1,3,1,30,4,0
17,3,7,1,1,3,2,1,18,7,0
32,1,13,2,6,1,1,1,40,5,1
29,4,0,1,1,2,4,1,40,0,0
33,14,6,2,1,3,6,1,35,2,0
25,4,0,1,1,1,3,1,60,0,0
36,12,14,1,4,3,4,1,40,6,0
23,4,0,1,1,3,4,1,72,7,0
63,4,0,1,3,1,3,1,40,5,1
47,12,14,1,5,1,3,1,40,6,0
80,4,0,1,0,5,4,1,24,0,0
17,3,7,1,0,3,2,1,40,0,0
40,1,13,2,2,6,4,1,40,6,0
30,7,12,2,1,1,1,1,25,3,1
27,2,10,1,1,3,2,2,40,2,0
33,12,14,1,1,1,3,1,50,6,1
34,4,0,1,5,3,4,5,60,0,0
34,2,10,2,5,3,4,1,40,0,0
23,2,10,1,1,1,3,1,40,0,0
42,2,10,2,5,1,1,1,40,0,0
29,1,13,1,1,3,4,1,40,6,0
45,4,0,2,1,2,4,1,28,0,0
24,4,0,1,4,3,2,1,40,0,0
44,2,10,1,1,1,3,1,40,6,1
27,0,5,1,1,3,5,1,40,2,0
20,2,10,1,1,3,4,1,35,4,0
44,4,0,2,1,5,6,5,40,5,0
51,4,0,1,1,1,3,3,40,2,0
20,4,0,1,1,1,3,1,40,8,0
17,3,7,2,0,3,2,1,5,0,0
19,4,0,2,1,3,2,5,40,8,0
45,2,10,1,3,1,3,1,55,2,1
60,4,0,1,1,1,3,1,40,2,1
42,7,12,1,1,1,3,5,40,5,1
44,4,0,2,2,1,1,1,40,4,1
40,8,11,1,1,1,3,2,40,8,1
30,4,0,2,1,1,1,1,40,5,0
38,2,10,1,1,1,3,5,50,0,0
23,4,0,1,1,1,3,1,60,0,0
32,2,10,1,0,1,3,1,40,0,0
44,7,12,1,1,3,2,1,40,0,0
54,4,0,1,5,1,3,5,40,0,0
32,1,13,1,1,1,3,1,50,6,0
50,13,2,1,1,6,6,1,40,2,0
24,1,13,2,1,3,4,1,20,1,0
37,4,0,2,1,1,1,1,60,0,0
52,4,0,1,1,2,6,1,40,0,0
38,2,10,1,1,1,3,1,40,0,0
49,12,14,1,1,1,3,1,45,5,1
30,1,13,2,1,1,1,1,16,1,1
60,2,10,1,1,3,6,1,40,6,1
22,2,10,1,0,3,2,1,40,0,0
35,4,0,1,1,3,4,1,40,2,0
30,4,0,1,1,3,4,1,60,0,0
67,8,11,2,1,2,4,1,24,3,0
46,1,13,2,1,3,4,1,40,2,0
17,0,5,1,1,3,4,1,6,3,0
22,2,10,1,1,3,2,1,30,7,0
27,14,6,1,1,3,4,1,40,3,0
23,4,0,2,1,3,6,1,35,3,0
33,7,12,1,1,1,3,1,45,2,0
43,2,10,1,2,1,3,1,20,2,0
28,1,13,1,6,3,4,1,20,6,0
41,4,0,2,1,6,6,1,40,2,0
52,11,8,1,0,3,5,5,40,0,0
25,2,10,2,1,6,2,5,20,0,0
63,13,2,1,0,1,3,1,35,0,0
59,4,0,1,5,1,3,1,45,0,0
45,1,13,2,5,2,6,1,40,6,0
38,1,13,1,1,1,3,1,60,4,1
40,4,0,2,1,3,4,1,35,3,0
46,4,0,1,4,2,4,1,40,0,0
35,7,12,2,1,3,4,1,60,5,0
34,4,0,2,1,2,6,1,25,6,0
33,1,13,1,1,3,2,1,20,2,0
41,4,0,2,1,2,6,1,36,0,0
20,2,10,1,1,3,2,1,40,8,0
23,16,3,1,1,3,2,1,40,3,0
26,2,10,2,1,3,4,1,35,6,0
72,4,0,1,0,1,3,1,20,0,0
23,4,0,1,5,3,4,1,40,0,0
62,4,0,1,5,1,3,1,40,0,0
52,2,10,1,1,1,3,1,40,0,0
58,2,10,2,1,2,6,1,42,3,0
25,1,13,2,1,3,4,1,40,4,0
24,1,13,1,1,3,4,5,40,5,0
19,2,10,1,1,3,2,1,8,0,0
43,2,10,1,1,1,3,1,40,5,0
47,4,0,2,5,4,6,5,40,0,0
39,4,0,2,1,2,6,1,40,3,0
49,8,11,1,1,6,6,1,42,7,0
53,16,3,2,0,5,6,5,30,0,0
32,8,11,1,1,3,4,1,45,2,0
34,2,10,1,1,1,3,1,50,6,1
28,4,0,1,1,2,4,1,45,2,0
57,8,11,2,0,5,6,1,38,0,0
25,2,10,2,1,3,4,3,20,0,0
20,2,10,1,0,3,2,1,24,0,0
21,2,10,2,0,3,6,1,35,0,0
34,1,13,1,1,1,3,1,50,6,1
38,1,13,1,3,1,3,1,80,5,1
50,4,0,1,1,1,3,1,50,5,1
24,2,10,1,5,2,4,5,50,7,0
37,2,10,1,5,1,3,1,45,1,1
44,2,10,1,1,2,6,1,58,8,1
28,2,10,2,1,1,1,1,40,4,0
42,1,13,1,1,1,3,1,40,5,1
74,2,10,2,1,2,4,1,9,0,0
38,4,0,1,2,1,3,1,50,2,0
44,12,14,1,2,1,3,1,40,6,0
44,3,7,2,1,2,6,4,46,8,0
26,4,0,1,1,3,4,1,40,8,0
36,4,0,1,1,1,3,5,40,3,0
41,7,12,2,1,1,1,1,50,5,1
67,5,15,1,1,1,3,1,48,6,1
39,11,8,1,5,1,3,1,50,1,0
57,13,2,2,1,5,4,5,30,0,0
29,8,11,1,1,4,4,1,40,2,0
31,1,13,2,3,3,4,1,45,0,0
34,4,0,2,0,3,6,5,40,0,0
44,2,10,1,1,1,3,1,40,0,0
29,15,16,1,1,3,2,1,40,6,0
30,2,10,2,1,3,6,1,40,7,0
27,4,0,1,1,3,4,1,40,0,0
27,2,10,1,1,1,3,1,50,4,0
32,4,0,2,1,3,4,1,45,7,0
58,14,6,2,1,1,1,1,8,3,0
35,2,10,1,5,1,3,1,40,0,0
21,4,0,1,1,3,2,1,36,7,0
28,2,10,1,1,3,6,1,40,2,0
46,2,10,1,2,2,4,1,50,5,0
36,4,0,2,2,4,6,1,40,3,0
72,3,7,2,1,5,6,1,40,0,0
35,4,0,2,1,1,1,5,40,8,0
33,8,11,2,4,2,6,5,40,2,1
69,3,7,2,1,3,4,1,40,8,0
35,4,0,1,1,1,3,1,40,8,0
31,4,0,2,1,4,6,1,20,0,0
34,4,0,2,1,1,1,1,32,1,0
30,3,7,1,1,1,3,1,40,3,0
28,1,13,1,1,3,4,1,55,0,0
54,1,13,1,1,1,3,1,35,4,1
47,2,10,1,1,1,3,1,50,6,1
24,4,0,2,1,3,6,5,40,7,0
52,1,13,1,2,1,3,1,60,6,1
20,4,0,1,1,3,2,3,48,7,0
43,12,14,1,3,1,3,1,45,5,0
45,10,4,2,1,4,6,1,40,3,0
29,4,0,1,2,4,4,1,35,2,0
47,12,14,1,1,2,6,1,42,5,0
24,4,0,1,1,3,2,1,40,2,0
51,4,0,1,1,1,3,1,40,6,0
17,3,7,1,1,3,2,1,12,4,0
37,8,11,1,1,1,3,1,40,2,1
27,15,16,2,1,3,4,1,70,6,0
29,1,13,1,1,1,1,1,40,5,1
18,11,8,1,0,3,2,1,25,0,0
36,7,12,2,2,2,6,1,35,4,0
58,1,13,2,5,3,4,1,40,6,0
26,2,10,1,2,1,3,1,45,2,0
65,2,10,1,0,1,3,1,30,0,1
57,4,0,1,1,1,3,1,40,4,1
59,4,0,1,1,1,3,1,40,2,0
27,4,0,1,1,1,3,1,40,8,0
31,1,13,1,2,3,4,1,40,1,0
21,2,10,2,1,3,2,1,24,4,0
29,2,10,1,1,3,4,1,60,0,0
18,3,7,1,1,3,2,1,40,3,0
52,14,6,1,1,1,3,1,47,2,1
57,1,13,1,3,2,4,1,80,6,0
42,4,0,1,0,1,3,1,40,0,0
55,4,0,2,0,1,1,2,40,0,0
60,10,4,1,1,3,4,1,48,0,1
31,1,13,1,1,1,3,1,40,6,1
23,1,13,2,1,3,2,1,40,0,0
27,4,0,1,1,3,2,1,40,4,0
23,2,10,2,0,3,6,3,25,0,0
42,5,15,1,2,1,3,1,50,6,1
25,2,10,1,1,3,4,1,40,1,0
49,1,13,2,1,3,4,1,45,6,0
32,1,13,1,1,3,4,1,40,1,0
19,2,10,1,1,3,2,1,28,0,0
60,10,4,2,1,2,4,1,40,3,0
42,0,5,1,5,1,3,1,40,3,0
35,7,12,1,2,3,4,1,40,0,0
48,4,0,2,1,3,6,5,37,0,0
51,12,14,1,1,1,3,1,40,2,1
29,4,0,1,1,3,4,3,40,2,0
36,4,0,1,5,4,4,5,40,5,0
17,14,6,2,1,3,2,1,21,3,0
52,12,14,2,1,2,4,1,60,6,0
24,4,0,1,1,3,4,1,40,2,0
24,4,0,1,1,1,3,1,50,7,0
26,1,13,1,5,3,2,1,40,6,0
27,1,13,2,1,3,2,1,20,3,0
39,4,0,1,1,3,2,1,60,7,0
30,4,0,1,1,1,3,5,45,0,0
50,4,0,1,2,1,3,1,32,5,0
52,1,13,1,3,1,3,1,55,4,0
46,5,15,1,1,1,3,1,45,6,1
23,1,13,2,1,3,2,1,20,4,0
45,3,7,2,1,5,4,5,20,3,0
65,0,5,2,1,5,6,5,24,0,0
29,8,11,1,1,1,3,1,55,0,0
47,0,5,1,1,6,6,1,40,7,0
30,4,0,1,1,3,2,5,60,0,0
34,4,0,1,1,1,3,1,45,4,1
38,4,0,1,2,1,3,1,64,4,0
33,2,10,1,1,1,3,1,40,5,1
49,1,13,1,1,1,3,1,26,4,1
47,2,10,2,2,3,6,5,40,3,0
49,14,6,2,5,4,6,5,40,3,0
43,2,10,1,1,1,3,1,60,2,1
